date,a00,a02,a05,a10,a15,a30,a45,a60,t00,t02,t05,t10,t15,t30,t45,t60,tsum
20071210,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071211,737201,2096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071212,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071213,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071214,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071215,718956,11106,9235,0,0,0,0,0,1,2,6,0,0,0,0,0,9
20071216,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071217,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071218,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071219,727961,8714,2622,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071220,731765,3131,4401,0,0,0,0,0,1,1,3,0,0,0,0,0,5
20071221,739297,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20071222,733932,5365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071223,722233,8833,8231,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071224,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071225,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071226,735754,3543,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
20071227,736839,2458,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
20071228,727996,4192,7109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071229,731705,7592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071230,733122,6175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071231,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080325,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080326,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080327,739297,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
20080328,736454,2843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080329,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080330,723007,13465,2825,0,0,0,0,0,4,5,0,0,0,0,0,0,9
20080331,692036,20390,16691,7808,2372,0,0,0,1,0,3,14,2,0,0,0,20
20080401,736358,2939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080402,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080403,712737,14024,8437,4099,0,0,0,0,0,1,5,7,0,0,0,0,13
20080404,720052,11596,7649,0,0,0,0,0,8,1,6,0,0,0,0,0,15
20080405,724412,14885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080406,733830,5467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080407,730776,3540,3338,1643,0,0,0,0,1,2,0,0,0,0,0,0,3
20080408,715071,24226,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
20080409,704902,17239,8718,4809,3629,0,0,0,1,4,8,11,12,0,0,0,36
20080410,691670,21251,16346,3736,6294,0,0,0,0,11,8,0,1,0,0,0,20
20080411,667134,48502,19814,3847,0,0,0,0,2,0,20,1,0,0,0,0,23
20080412,732763,6534,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
20080413,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080414,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080415,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
